,Date,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Take407All
0,01-06-2012,16:37,Friday,Home,51.29,0.53,78.3,84.8,8.69,39.3,36.3,No
1,01-06-2012,08:20,Friday,GSK,51.63,0.63,81.8,88.9,8.69,37.9,34.9,No
2,01-04-2012,16:17,Wednesday,Home,51.27,0.53,82,85.8,8.69,37.5,35.9,No
3,01-04-2012,07:53,Wednesday,GSK,49.17,0.7,74.2,82.9,8.69,39.8,35.6,No
4,01-03-2012,18:57,Tuesday,Home,51.15,0.84,83.4,88.1,8.69,36.8,34.8,No
5,01-03-2012,07:57,Tuesday,GSK,51.8,0.82,84.5,88.8,8.69,36.8,35,No
6,01-02-2012,17:31,Monday,Home,51.37,0.38,82.9,87.3,8.69,37.2,35.3,No
7,01-02-2012,07:34,Monday,GSK,49.01,0.56,77.5,85.9,8.69,37.9,34.3,No
8,12/23/2011,08:01,Friday,GSK,52.91,0.63,80.9,88.3,8.89,39.3,36,No
9,12/22/2011,17:19,Thursday,Home,51.17,0.35,70.6,78.1,8.89,43.5,39.3,No
10,12/22/2011,08:16,Thursday,GSK,49.15,0.6,74,81.4,8.89,39.8,36.2,No
11,12/21/2011,07:45,Wednesday,GSK,51.77,0.44,71.7,78.9,8.89,43.3,39.4,No
12,12/20/2011,16:05,Tuesday,Home,51.45,0.62,75.2,82.7,8.89,41.1,37.3,No
13,12/20/2011,06:04,Tuesday,GSK,49.01,0.24,77.4,82,8.89,38,35.9,No
14,12/19/2011,16:18,Monday,Home,51.04,0.7,77.5,83.5,8.89,39.5,36.7,No
15,12/19/2011,07:34,Monday,GSK,52,0.89,76.5,87.8,8.89,40.8,35.5,No
16,12/16/2011,12:22,Friday,Home,51.05,0.56,86.9,90.6,9.08,35.2,33.8,No
17,12/16/2011,07:21,Friday,GSK,49.04,0.43,71.1,80.2,9.08,41.4,36.7,No
18,12/15/2011,16:14,Thursday,Home,51.06,0.51,80.5,84.9,9.08,38.1,36.1,No
19,12/15/2011,07:19,Thursday,GSK,51.68,0.39,68.1,75.8,9.08,45.6,40.9,No
20,12/14/2011,16:20,Wednesday,Home,51.04,0.39,75.1,79.4,9.08,40.8,38.6,No
21,12/14/2011,07:23,Wednesday,GSK,51.67,0.39,76.6,82.7,9.08,40.5,37.5,No
22,12/13/2011,17:43,Tuesday,Home,51.15,0.64,74.8,82.4,9.08,41,37.2,No
23,12/13/2011,07:25,Tuesday,GSK,49.19,0.48,65.4,74.2,9.08,45.1,39.8,No
24,12-12-2011,07:20,Monday,GSK,49.02,0.48,65.7,74,9.76,44.8,39.7,No
25,12-09-2011,12:04,Friday,Home,51.14,0.51,87.3,90.2,9.76,35.2,34,No
26,12-09-2011,07:22,Friday,GSK,51.69,0.56,74,77.3,9.76,41.9,40.1,No
27,12-08-2011,17:41,Thursday,Home,51.07,0.45,74.6,81.5,9.76,41.1,37.6,No
28,12-08-2011,07:14,Thursday,GSK,51.63,0.77,76.5,84.3,9.76,40.5,36.7,No
29,12-07-2011,16:12,Wednesday,Home,51.1,0.5,79.9,85.6,9.76,38.4,35.8,No
30,12-07-2011,07:18,Wednesday,GSK,51.64,0.43,73.6,82,9.76,42.1,37.8,No
31,12-06-2011,17:24,Tuesday,Home,51.25,0.39,77.3,81.9,9.16,39.8,37.6,No
32,12-06-2011,07:24,Tuesday,GSK,51.64,0.35,69.3,74.7,9.16,44.7,41.5,No
33,12-05-2011,16:18,Monday,Home,50.18,0.41,71,79.5,9.16,42.4,37.9,No
34,12-01-2011,16:15,Thursday,Home,51.55,0.61,74.2,83.7,8.69,41.7,36.9,No
35,12-01-2011,07:24,Thursday,GSK,51.38,0.43,80.1,84.4,8.69,38.5,36.5,No
36,11/30/2011,16:11,Wednesday,Home,51.09,0.57,71.5,76.7,8.69,42.9,39.9,No
37,11/30/2011,07:19,Wednesday,GSK,51.71,0.47,76.3,81.8,8.69,40.7,37.9,No
38,11/29/2011,16:52,Tuesday,Home,51,0.32,68.4,75.4,8.69,44.7,40.6,No
39,11/29/2011,07:23,Tuesday,GSK,51.74,0,55.3,61,8.69,56.2,50.9,No
40,11/28/2011,16:16,Monday,Home,51.05,0.56,72.4,78.8,8.69,42.3,38.9,No
41,11/28/2011,07:26,Monday,GSK,51.63,0.52,71,75.5,8.69,43.6,41.1,No
42,11/24/2011,16:15,Thursday,Home,51.49,0.5,74,82.8,9.3,41.8,37.3,No
43,11/24/2011,07:23,Thursday,GSK,51.69,0.44,73.3,80.3,9.3,42.3,38.6,No
44,11/23/2011,16:17,Wednesday,Home,50.91,0.6,68.9,74.6,9.3,52.5,48.5,No
45,11/23/2011,07:22,Wednesday,GSK,51.6,0.49,67.3,73.6,9.3,46,42.1,No
46,11/22/2011,16:15,Tuesday,Home,51.49,0.61,78.6,83.8,9.3,39.3,36.9,No
47,11/22/2011,07:27,Tuesday,GSK,51.65,0.57,76.1,82.6,9.3,40.7,37.5,No
48,11/21/2011,16:50,Monday,Home,51.31,0.38,60.9,67.2,10.05,50.6,45.8,No
49,11/21/2011,07:24,Monday,GSK,52.25,0.53,38.1,50.3,10.05,82.3,62.4,No
50,11/17/2011,16:16,Thursday,Home,51.16,0.54,72.4,77.4,10.05,42.4,39.6,No
51,11/17/2011,07:42,Thursday,GSK,51.67,0.52,70.9,77.7,10.05,43.7,39.9,No
52,11/16/2011,16:13,Wednesday,Home,51.12,0.45,65,73.1,9.53,47.2,41.9,No
